E 4;Golden las;Mini compresor aer AC0-008;electric;;buc;1;;;;
E 8;Golden las;Fulie punte laser fi 64 mm;mec;;buc;7;;;;
F 4;Golden las;Conector Y pentru alimentare apa Chiller;mec;;buc;36;;;;
E 4;Golden las;suport tub laser 130 W  (original);mec;;buc;6;;;;
E 4;Golden las;suport tub laser 80 W  (original);mec;;buc;2;;;;
F 6;Golden las;Curea;mec;HTD 267-3M;buc;1;;;;
F 6;Golden las;Curea;mec;590 - 5M;buc;1;;;;
F 6;Golden las;Curea;mec;S5M 520;buc;2;;;;
F 6;Golden las;Curea;mec;675 - 5M;buc;4;;;;
F 6;Golden las;Curea;mec;420 - 5M;buc;4;;;;
F 6;Golden las;Curea (de fulie mica);mec;AVX 10 x 625;buc;1;;;;
F 6;Golden las;Curea;mec;HTD 695 5M;buc;3;;;;
F 6;Golden las;Curea;mec;638   RPP5;buc;2;;;;
F 6;Golden las;Curea;mec;635 5M;buc;2;;;;
F 6;Golden las;Curea;mec;300 3M;buc;1;;;;
F 6;Golden las;Organizator cabluri flexibil  / Jgheab lant (cap laser);mec;;buc;2;;;;
F 4;Golden las;Limitator capat de cursa (POT si NOT);electric;;buc;10;;;;
G 4;Golden las;Sensor presiune apa chiller;electric;;buc;7;;;;
F 8;Golden las;Cuplaj furtun apa chiller extern;mec;;buc;8;;;;
F 4;Golden las;Miliampermetru;electric;;buc;3;;;;
F 4;Golden las;Sensor origine cap laser;electric;ZYJA12-4NA/R1;buc;13;;;;
G 8;Golden las;Lagar rola ghidare plasa conveyor (model vechi);mec;;buc;6;;;;
G 8;Golden las;Lagar rola ghidare plasa conveyor (model nou);;;buc;4;;;;
G 8;Golden las;Rulment 6204  - lagar rola ghidare plasa conveuor;mec;6204RS;buc;1;;;;
G 6;Golden las;Placa de baza GoldenLaser;electric;;buc;4;;;;
H 6;Golden las;Lentila 25.4 mm DIA x 50.8 FL;;25.4 mm DIA x 50.8 FL;buc;6;;;;
H 6;Golden las;Oglinda  Reflector 25.4 mm DIA x 3 mm THK;;25.4 mm DIA x 3 mm THK;buc;5;;;;
H 6;Golden las;Oglinda  Reflector 20 mm DIA x 3 mm THK;;20 mm DIA x 3 mm THK;buc;1;;;;
H 6;Golden las;Lentila 19.05 mm DIA x 50.8 FL;;19.05 mm DIA x 50.8 FL;buc;5;;;;
H 6;Golden las;Lentila 19.05 mm DIA x 76.2 FL;;19.05 mm DIA x 76.2 FL;buc;5;;;;
E 3;Golden las;Disc focalizare cap laser 50 mm DIA x 8 mm THK;;50 mm DIA x 8 mm THK;buc;2;;;;
